REF_DATE,"Apple juice, 1.36 litres","Apples, 1 kilogram","Baby food, 128 millilitres","Bacon, 500 grams","Baked beans, canned, 398 millilitres","Bananas, 1 kilogram",Bathroom tissue (4 rolls),"Blade roast, 1 kilogram","Bread, 675 grams","Butter, 454 grams","Canned salmon, 213 grams","Carrots, 1 kilogram","Chicken, 1 kilogram",Cigarettes (200),"Coffee, instant, 200 grams","Coffee, roasted, 300 grams","Cooking or salad oil, 1 litre","Corn flakes, 675 grams","Deodorant, 60 grams","Eggs, 1 dozen","Evaporated milk, 385 millilitres",Facial tissue (200 tissues),"Flour, 2.5 kilograms","French fried potatoes, frozen, 1 kilogram","Ground beef, 1 kilogram","Homogenized milk, 4 litres","Ketchup, 1 litre","Macaroni, 500 grams","Mushrooms, 1 kilogram","Onions, 1 kilogram","Orange juice, 1 litre","Oranges, 1 kilogram",Paper towels (2 rolls),"Partly skimmed milk, 4 litres","Peanut butter, 500 grams","Pork chops, 1 kilogram","Potatoes, 4.54 kilograms","Prime rib roast, 1 kilogram","Processed cheese slices, 250 grams","Regular, unleaded gasoline at self-service stations, cents per litre","Round steak, 1 kilogram","Shampoo, 300 millilitres","Sirloin steak, 1 kilogram","Soda crackers, 450 grams","Soup, canned, 284 millilitres","Stewing beef, 1 kilogram","Sugar, white, 2 kilograms",Tea (72 bags),"Tomato juice, 1.36 litres","Tomatoes, canned, 796 millilitres","Toothpaste, 100 millilitres","Wieners, 450 grams"
2012-01,2.4265,3.9099999999999997,0.9659999999999999,5.761499999999999,1.2994999999999999,1.9779999999999998,2.8979999999999997,12.649999999999999,3.2085,5.0255,4.0825,1.8744999999999998,8.1535,96.669,7.543999999999999,6.9345,4.7265,5.3015,5.3245,3.5534999999999997,2.1734999999999998,2.6565,5.956999999999999,2.6334999999999997,10.177499999999998,,3.8524999999999996,1.7134999999999998,9.1885,1.702,4.5424999999999995,3.0475,2.9669999999999996,,3.6224999999999996,11.603499999999999,6.2215,26.610999999999997,3.1395,139.49499999999998,15.985,4.646,19.802999999999997,3.105,1.15,12.247499999999999,3.7719999999999994,4.910499999999999,2.576,1.7825,2.8175,3.9675
2012-02,2.415,3.933,0.9659999999999999,5.9799999999999995,1.3915,1.9894999999999998,2.921,12.983499999999998,3.1739999999999995,5.094499999999999,4.0135,1.863,7.957999999999999,96.74949999999998,7.5095,7.049499999999999,4.7265,5.335999999999999,5.140499999999999,3.703,2.2079999999999997,2.6219999999999994,6.095,2.6795,10.258,,3.8869999999999996,1.6789999999999998,9.418499999999998,1.702,4.646,2.9555,2.9784999999999995,,4.14,12.029,6.2675,25.7715,3.2775,142.82999999999998,15.9965,4.646,19.7455,3.082,1.1615,12.362499999999999,3.7604999999999995,4.991,2.6795,1.7939999999999998,2.76,3.9905
2012-03,2.4034999999999997,3.8869999999999996,0.9544999999999999,5.888,1.38,1.9665,2.875,12.948999999999998,3.2199999999999998,5.106,4.162999999999999,2.024,7.957999999999999,97.55449999999999,7.382999999999999,7.049499999999999,4.749499999999999,5.5085,5.094499999999999,3.565,2.162,2.576,6.026,2.7255,10.142999999999999,,3.8985,1.702,8.947,1.6674999999999998,4.5424999999999995,2.852,2.9669999999999996,,4.4159999999999995,12.120999999999999,6.117999999999999,27.1055,3.312,149.27,16.215,4.5655,20.0445,3.0934999999999997,1.1729999999999998,12.7075,3.703,4.944999999999999,2.7139999999999995,1.7939999999999998,2.7715,4.0595
2012-04,2.4034999999999997,3.8064999999999998,0.9659999999999999,5.8995,1.4029999999999998,1.9779999999999998,2.9899999999999998,12.983499999999998,3.1854999999999998,5.082999999999999,4.186,2.0585,8.1305,97.428,7.555499999999999,7.014999999999999,4.760999999999999,5.727,5.037,3.5304999999999995,2.1505,2.5989999999999998,6.0145,2.7715,10.212,,3.7489999999999997,1.6905,8.958499999999999,1.6789999999999998,4.5885,2.8864999999999994,3.013,,4.358499999999999,12.5465,6.1754999999999995,24.7365,3.2314999999999996,154.21499999999997,16.226499999999998,4.4965,20.3205,3.0934999999999997,1.1729999999999998,12.7995,3.7489999999999997,4.910499999999999,2.7024999999999997,1.7594999999999998,2.783,4.174499999999999
2012-05,2.4034999999999997,3.9444999999999997,0.9774999999999999,5.8995,1.426,1.9665,2.9899999999999998,12.834,3.1739999999999995,5.082999999999999,4.255,2.139,8.1075,97.497,7.2909999999999995,7.037999999999999,4.784,5.818999999999999,5.220999999999999,3.542,2.2079999999999997,2.576,6.002999999999999,2.7485,10.373,,3.7375,1.6444999999999999,9.222999999999999,1.6905,4.6114999999999995,3.036,2.9094999999999995,,4.4505,12.304999999999998,6.152499999999999,27.392999999999997,3.2544999999999997,148.35,16.468,4.5424999999999995,19.8145,3.1395,1.196,13.040999999999999,3.6685,4.956499999999999,2.783,1.7825,2.8059999999999996,4.0595
2012-06,2.4494999999999996,4.036499999999999,0.9774999999999999,5.842,1.4144999999999999,1.9549999999999998,2.9669999999999996,12.879999999999999,3.1854999999999998,5.0255,4.1975,2.139,8.096,97.6925,7.589999999999999,7.037999999999999,4.7955,5.727,5.06,3.542,2.2194999999999996,2.6219999999999994,5.9685,2.8405,10.626,,3.7949999999999995,1.6789999999999998,9.3495,1.7594999999999998,4.531,3.3234999999999997,2.9784999999999995,,4.4159999999999995,11.925499999999998,6.4975,27.576999999999998,3.1969999999999996,143.98,16.2035,4.577,19.699499999999997,3.1395,1.2305,13.029499999999999,3.634,5.082999999999999,2.7715,1.7479999999999998,2.7255,3.9905
2012-07,2.5185,4.289499999999999,0.9774999999999999,5.9225,1.4144999999999999,1.9665,3.0475,13.063999999999998,3.1969999999999996,5.106,4.2204999999999995,2.2079999999999997,8.1535,97.336,7.6705,7.003499999999999,4.8415,5.807499999999999,5.2555,3.5189999999999997,2.2194999999999996,2.576,6.095,2.8175,10.556999999999999,,3.7834999999999996,1.7134999999999998,9.222999999999999,1.9434999999999998,4.5195,3.3465,2.9555,,4.427499999999999,12.247499999999999,6.727499999999999,27.554,3.2199999999999998,144.095,16.307,4.5424999999999995,19.906499999999998,3.1624999999999996,1.196,13.040999999999999,3.6224999999999996,5.1175,2.7715,1.817,2.8059999999999996,3.9789999999999996
2012-08,2.4724999999999997,4.4045,0.9774999999999999,5.911,1.4144999999999999,1.9665,3.0244999999999997,13.040999999999999,3.1739999999999995,5.037,4.2435,1.9665,7.935,96.7725,7.520999999999999,6.865499999999999,4.8069999999999995,5.956999999999999,5.416499999999999,3.6224999999999996,2.2194999999999996,2.53,6.186999999999999,2.8405,10.464999999999998,,3.6799999999999997,1.702,9.453,2.0355,4.508,3.3465,2.9784999999999995,,4.484999999999999,12.4315,6.635499999999999,27.300999999999995,3.2085,147.66,16.4565,4.853,20.424,3.1739999999999995,1.2075,13.052499999999998,3.6685,5.0714999999999995,2.7715,1.7825,3.0244999999999997,3.9675
2012-09,2.4034999999999997,4.4159999999999995,0.9774999999999999,5.956999999999999,1.4144999999999999,1.8859999999999997,3.0589999999999997,12.8685,3.105,5.0024999999999995,4.209,1.8974999999999997,7.9925,96.79549999999999,7.555499999999999,6.9805,4.749499999999999,5.807499999999999,5.082999999999999,3.6454999999999997,2.1505,2.5989999999999998,6.095,2.8289999999999997,10.373,,3.7949999999999995,1.6789999999999998,9.039,1.9434999999999998,4.553999999999999,3.2199999999999998,3.036,,4.462,12.109499999999999,6.095,28.013999999999996,3.2429999999999994,150.765,16.33,4.4735,20.148,3.082,1.1384999999999998,12.649999999999999,3.5765,4.853,2.7715,1.7249999999999999,2.7944999999999998,3.8754999999999997
2012-10,2.484,4.4735,0.9774999999999999,5.945499999999999,1.4029999999999998,1.9549999999999998,3.0704999999999996,13.006499999999999,3.1739999999999995,5.0024999999999995,4.358499999999999,1.7939999999999998,8.1305,96.70349999999999,7.475,6.773499999999999,4.7955,6.0375,5.1175,3.6914999999999996,2.1045,2.5989999999999998,5.669499999999999,2.852,10.464999999999998,,3.7719999999999994,1.6789999999999998,9.0505,1.8399999999999999,4.438999999999999,3.2544999999999997,3.0475,,4.5195,12.4315,5.842,25.817499999999995,3.2889999999999997,148.695,16.3415,4.4505,19.9985,3.082,1.1615,12.741999999999999,3.5304999999999995,4.910499999999999,2.6565,1.7134999999999998,2.7369999999999997,4.093999999999999
